QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.993680, 0.000440, 0.004180, -0.073520, 0.017410, 1.685700, 0.000000, 83.000000, 19 x 19, 88.400000, 89.850000,175.0, 0.000000, 0.020000, 0 x 23, 0.010000, -0.000970, 0.000050, 0.000810, -0.008700, -0.000130, 1.344060, 3.000000,89.0,0.337
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.018000, , 2.000000, 80.500000, 31 x 29, 83.100000, 84.850000,180.0, 0.000000, 0.010000, 0 x 15, 0.010000, -0.000240, 0.000110, 0.000420, -0.004230, -0.000380, 1.188780, 39.000000,84.0,0.318
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.018600, , 20.000000, 79.750000, 19 x 51, 78.450000, 79.500000,185.0, 0.010000, 0.020000, 24 x 28, 0.010000, -0.001280, 0.000160, 0.001730, -0.013710, 0.000000, 1.219520, 34.000000,79.0,0.299
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000360, 0.018970, , 2.000000, 40.550000, 31 x 34, 76.000000, 77.000000,187.5, 0.000000, 0.030000, 0 x 243, 0.020000, -0.001420, 0.000110, 0.001800, -0.012600, 0.000000, 1.170710, 1.000000,76.5,0.29
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000080, 0.019420, , 20.000000, 64.800000, 41 x 19, 73.450000, 74.500000,190.0, 0.000000, 0.030000, 0 x 148, 0.020000, -0.001960, 0.000170, 0.001190, -0.012170, 0.000000, 1.129930, 4.000000,74.0,0.28
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.019560, , 1.000000, 71.550000, 31 x 29, 70.600000, 72.350000,192.5, 0.010000, 0.030000, 10 x 347, 0.020000, -0.002270, 0.000210, 0.002180, -0.016450, -0.000340, 1.120870, 0.000000,71.5,0.271
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.020300, , 0.000000, 61.530000, 69 x 66, 68.450000, 69.500000,195.0, 0.010000, 0.030000, 1 x 315, 0.030000, -0.002470, 0.000280, 0.002110, -0.016700, -0.000040, 1.079610, 0.000000,69.0,0.261
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.020440, , 0.000000, 60.850000, 40 x 19, 65.950000, 67.000000,197.5, 0.000000, 0.030000, 0 x 99, 0.020000, -0.002280, 0.000200, 0.001180, -0.013320, -0.000080, 1.009480, 1.000000,66.5,0.252
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000100, 0.020200, , 6.000000, 64.970000, 32 x 19, 63.550000, 64.350000,200.0, 0.010000, 0.020000, 30 x 12, 0.010000, -0.002340, 0.000210, 0.001850, -0.012860, -0.000100, 0.970720, 213.000000,64.0,0.243
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.020790, , 3.000000, 25.650000, 69 x 43, 60.950000, 62.000000,202.5, 0.010000, 0.030000, 26 x 30, 0.020000, -0.002600, 0.000370, 0.002490, -0.017350, 0.000000, 0.957120, 49.000000,61.5,0.233
