[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01724,0.00521, , , 0.000000, 500 x 500, 111.090000, 112.280000,280.0, 0.010000, 0.010000, 0 x 4075, 0.020000,-0.00118,5e-05,0.00016,-0.01042,0.0, 2.449630, 0.000000,112.3,0.286
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01737,0.00521, , , 0.000000, 500 x 500, 106.080000, 107.280000,285.0, 0.010000, 0.010000, 0 x 4084, 0.010000,-0.00093,4e-05,0.00093,-0.01031,-0.00044, 2.324900, 0.000000,107.3,0.273
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01745,0.0061, , , 0.000000, 500 x 1, 101.090000, 102.270000,290.0, 0.010000, 0.010000, 0 x 1744, 0.010000,-0.00086,7e-05,0.00057,-0.01059,-0.00036, 2.212120, 1.000000,102.3,0.261
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01738,0.00586, , , 0.000000, 500 x 500, 96.090000, 97.280000,295.0, 0.010000, 0.010000, 0 x 1744, 0.010000,-0.00127,0.00013,0.00059,-0.01018,0.0, 2.090020, 0.000000,97.3,0.248
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01762,0.00607, , 0.000000, 92.440000, 1 x 500, 91.090000, 92.280000,300.0, 0.010000, 0.010000, 0 x 2616, 0.010000,-0.00111,9e-05,0.00015,-0.01009,0.0, 1.975400, 10.000000,92.3,0.235
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01796,0.00641, , , 0.000000, 500 x 1, 86.090000, 87.250000,305.0, 0.010000, 0.010000, 0 x 2040, 0.010000,-0.00111,0.00014,0.00083,-0.01017,0.0, 1.861820, 0.000000,87.3,0.222
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01892,0.0066, , , 0.000000, 500 x 1, 81.080000, 82.280000,310.0, 0.010000, 0.010000, 0 x 1744, 0.020000,-0.00093,0.00012,0.00072,-0.01039,-0.0005, 1.749860, 0.000000,82.3,0.21
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01856,0.00678, , , 0.000000, 2 x 1, 76.080000, 77.250000,315.0, 0.010000, 0.010000, 0 x 4113, 0.010000,-0.00103,0.00013,0.00093,-0.01031,0.0, 1.641800, 0.000000,77.3,0.197
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.0187,0.00636, , 1.000000, 80.720000, 500 x 1, 71.090000, 72.280000,320.0, 0.010000, 0.010000, 0 x 4084, 0.010000,-0.00092,0.00015,0.00093,-0.01075,-8e-05, 1.535430, 0.000000,72.3,0.184
1662148800, 2022-09-02 16:00, 2022-09-02,16.0,392.27, 2022-09-02,1662148800,0.0,1.0,0.0,0.0,-0.01996,0.00656, , 0.000000, 87.370000, 2 x 2, 66.090000, 67.280000,325.0, 0.010000, 0.010000, 0 x 1758, 0.010000,-0.00182,0.00018,0.00097,-0.01011,0.0, 1.423330, 0.000000,67.3,0.171
