[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,111.1,111.56,285.0,0.01,0.01, 0 x 12757,0.01,-0.00071,2e-05,0.00041,-0.0093,-3e-05, 1.529630, 0.000000,111.4,0.281
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,106.1,106.56,290.0,0.01,0.01, 0 x 11907,0.02,-0.0014,9e-05,0.00055,-0.01024,-9e-05, 1.458920, 0.000000,106.4,0.268
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,101.1,101.56,295.0,0.01,0.01, 0 x 11839,0.01,-0.00124,5e-05,0.00113,-0.01043,0.0, 1.386740, 0.000000,101.4,0.256
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 5.000000,92.44, 500 x 500,96.1,96.56,300.0,0.01,0.01, 0 x 12351,0.01,-0.00088,0.00013,0.00086,-0.00989,-0.00018, 1.308930, 0.000000,96.4,0.243
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,91.1,91.57,305.0,0.01,0.01, 0 x 12221,0.01,-0.00145,0.00013,0.00138,-0.0096,0.0, 1.233680, 0.000000,91.4,0.231
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,86.1,86.57,310.0,0.01,0.01, 0 x 12569,0.02,-0.00106,0.00016,0.00055,-0.0104,0.0, 1.162940, 0.000000,86.4,0.218
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,81.11,81.57,315.0,0.01,0.01, 0 x 12003,0.01,-0.00077,0.00018,0.00137,-0.01052,-0.00048, 1.094260, 0.000000,81.4,0.205
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,93.34, 500 x 500,76.11,76.57,320.0,0.01,0.01, 0 x 11913,0.01,-0.00089,0.00019,0.00135,-0.01037,-8e-05, 1.021020, 0.000000,76.4,0.193
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,87.37, 500 x 500,71.11,71.57,325.0,0.01,0.01, 0 x 12653,0.01,-0.00116,0.00022,0.00096,-0.01026,0.0, 0.953700, 0.000000,71.4,0.18
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,66.11,66.57,330.0,0.01,0.01, 0 x 12490,0.01,-0.00128,0.00019,0.00088,-0.01034,-0.00049, 0.881010, 0.000000,66.4,0.167
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,60.64, 500 x 500,61.11,61.57,335.0,0.01,0.01, 0 x 12880,0.01,-0.00125,0.00026,0.00175,-0.00976,-0.0002, 0.814290, 0.000000,61.4,0.155
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,57.11,57.58,339.0,0.01,0.01, 0 x 11169,0.0,-0.00215,0.00028,0.00097,-0.00973,0.0, 0.758160, ,57.4,0.145
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,88.2, 500 x 500,56.11,56.58,340.0,0.01,0.01, 0 x 11839,0.01,-0.00134,0.00032,0.00175,-0.0098,-0.00038, 0.745250, 0.000000,56.4,0.142
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,55.11,55.58,341.0,0.01,0.01, 0 x 12665,0.0,-0.00175,0.00028,0.00177,-0.01072,0.0, 0.733100, ,55.4,0.14
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,54.11,54.58,342.0,0.01,0.01, 0 x 12659,0.01,-0.0014,0.00031,0.00114,-0.01014,-0.0001, 0.719470, 0.000000,54.4,0.137
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,53.12,53.58,343.0,0.01,0.01, 0 x 12343,0.03,-0.00171,0.00027,0.002,-0.01059,-0.00044, 0.706100, 0.000000,53.4,0.135
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,52.12,52.58,344.0,0.01,0.01, 0 x 12868,0.01,-0.00144,0.00028,0.00197,-0.00923,-0.00033, 0.688730, 0.000000,52.4,0.132
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,51.12,51.58,345.0,0.01,0.01, 0 x 11960,0.01,-0.00221,0.00033,0.00146,-0.00952,-0.00012, 0.674020, 0.000000,51.4,0.13
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,50.12,50.58,346.0,0.01,0.01, 0 x 13126,0.02,-0.00154,0.00031,0.00205,-0.00957,-0.00052, 0.664480, 0.000000,50.4,0.127
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,49.12,49.58,347.0,0.01,0.01, 0 x 12577,0.01,-0.00174,0.00035,0.0018,-0.01037,0.0, 0.650900, 0.000000,49.4,0.125
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,48.12,48.58,348.0,0.01,0.01, 0 x 12571,0.01,-0.00183,0.00034,0.00203,-0.00967,0.0, 0.637910, 0.000000,48.4,0.122
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,47.12,47.58,349.0,0.01,0.01, 0 x 12296,0.01,-0.0024,0.00042,0.00164,-0.00992,-0.00047, 0.625540, 0.000000,47.4,0.12
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,45.31, 500 x 500,46.12,46.58,350.0,0.01,0.01, 0 x 12912,0.01,-0.00243,0.00037,0.00176,-0.01059,0.0, 0.612110, 168.000000,46.4,0.117
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,45.12,45.58,351.0,0.01,0.01, 0 x 13078,0.01,-0.00188,0.00043,0.0018,-0.00985,-0.00049, 0.599420, 1174.000000,45.4,0.115
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,44.12,44.58,352.0,0.01,0.01, 0 x 12713,0.01,-0.00267,0.00048,0.00157,-0.01,-0.00011, 0.585950, 1538.000000,44.4,0.112
