date,contracts,S0,DTE_min,DTE_max,tau_min,tau_max,K_min,K_max,log_moneyness_min,log_moneyness_max,P_mkt_min,P_mkt_max,iv_min,iv_max,vega_min,vega_max,r_min,r_max,maturity_count,contracts_per_maturity_min,contracts_per_maturity_max
2021-11-01,100,258.34,46.04,228.0,0.12613698630136985,0.6246575342465753,225.0,310.0,-0.13817614459944919,0.1822957506753225,6.75,51.6,0.38799758265098516,0.43186040721446806,0.31092801110799684,0.8143358473948972,0.00027079384541268,0.0011861032688687764,6,16,17
2021-11-02,100,264.03,45.04,227.0,0.1233972602739726,0.6219178082191781,227.5,315.0,-0.14891249466282488,0.17650990577180314,7.525,53.075,0.39929486655347696,0.4400027138609916,0.3136598047042565,0.8305475885503739,0.0004703811634080021,0.000991945848017299,6,16,17
