r,tau,S0,K,P_mkt,log_K_S0,iv_market,vega,DTE,C_VOLUME,rel_spread
0.0008784660571957106,0.12613698630136985,258.34,240.0,25.700000000000003,-0.07363762346187809,0.41785571802925575,0.31092801110799684,46.04,335.0,0.007782101167315147
0.0008784660571957106,0.12613698630136985,258.34,242.5,23.950000000000003,-0.06327483642633146,0.4140426346480551,0.3222673851000035,46.04,12.0,0.008350730688935252
0.0008784660571957106,0.12613698630136985,258.34,245.0,22.299999999999997,-0.05301833625914243,0.4115194393381681,0.3327481159457637,46.04,72.0,0.00896860986547082
0.0008784660571957106,0.12613698630136985,258.34,247.5,20.700000000000003,-0.04286596479512437,0.4086547602331984,0.3419761420612559,46.04,63.0,0.009661835748792235
0.0008784660571957106,0.12613698630136985,258.34,250.0,19.175,-0.03281562894162288,0.4061415302049542,0.34988213031841475,46.04,470.0,0.00782268578878741
0.0008784660571957106,0.12613698630136985,258.34,252.5,17.725,-0.022865298088454864,0.4039190334849351,0.3563220262745528,46.04,20.0,0.00846262341325823
0.0008784660571957106,0.12613698630136985,258.34,255.0,16.325,-0.013013001645443188,0.401253254681539,0.36118332395231256,46.04,477.0,0.009188361408881997
0.0008784660571957106,0.12613698630136985,258.34,257.5,15.05,-0.0032568267000785646,0.40019542007069137,0.3643953143488661,46.04,271.0,0.013289036544850568
0.0008784660571957106,0.12613698630136985,258.34,260.0,13.85,0.006405084211658265,0.3993420438815709,0.36590601588927907,46.04,647.0,0.014440433212996338
0.0008784660571957106,0.12613698630136985,258.34,262.5,12.7,0.015974535227809127,0.3980231667572151,0.36571794770425026,46.04,12.0,0.01574803149606308
0.0008784660571957106,0.12613698630136985,258.34,265.0,11.65,0.025453279182352836,0.3976299090478261,0.36386970394684504,46.04,121.0,0.017167381974248865
0.0008784660571957106,0.12613698630136985,258.34,267.5,10.675,0.0348430195321918,0.39752084687902867,0.3604396884827219,46.04,59.0,0.014051522248243593
0.0008784660571957106,0.12613698630136985,258.34,270.0,9.774999999999999,0.044145412194505476,0.3977531958711939,0.35554034544655444,46.04,435.0,0.015345268542199527
