model,date,loss,time_sec,feller,kappa,lambda,sigma,rho,v0
Heston_Project,2021-11-01,1.9071492715738714e-05,3.1089141368865967,True,3.7146084308624268,0.20192867517471313,1.0,-0.24172109365463257,0.15927797555923462
Heston_Project,2021-11-02,1.9243243514210917e-05,2.542994976043701,False,1.0480135679244995,0.3260038495063782,0.8266464471817017,-0.19744502007961273,0.16882815957069397
Zhang_realize,2021-11-01,1.0440976438985672e-06,2.509891986846924,True,3.719395160675049,0.20191232860088348,0.9748471975326538,-0.29304736852645874,0.13189563155174255
Zhang_realize,2021-11-02,1.0510253787288093e-06,2.539578914642334,True,1.0293405055999756,0.303377240896225,0.7832726240158081,-0.2324787676334381,0.1466345340013504
