Split,N,Share (%),IV Mean,IV Std,IV Min,IV Max
Full (after filtering),172206,100.0,0.6902764532932932,0.16343837475887932,0.08719698181758151,1.038615597828335
Training,120544,69.9998838600281,0.69027984926579,0.16375259543653964,0.08719698181758151,1.038615597828335
Validation,25831,15.000058069985947,0.6891220153343083,0.1640121154734707,0.09857045666668653,1.0209595554618285
Test,25831,15.000058069985947,0.6914150434682735,0.16138115431927427,0.09322722233303961,1.0186363092685806
